n,iterations
250,3
300,3
350,4
400,3
450,3
500,4
550,3
600,4
650,6
700,6
750,7
800,6
850,10
900,9
950,9
1000,10
1050,10
1100,13
1150,13
1200,15
1250,10
1300,15
1350,13
1400,15
1450,21
1500,14
1550,14
1600,14
1650,17
1700,26
1750,21
1800,18
1850,21
1900,19
1950,20
2000,17
2050,13
2100,14
2150,19
2200,20
2250,21
2300,19
2350,17
2400,17
2450,18
2500,21
2550,20
2600,24
2650,18
2700,19
2750,18
2800,23
2850,20
2900,24
2950,21
3000,20
3050,20
3100,21
3150,17
3200,18
3250,21
3300,21
3350,20
3400,19
3450,21
3500,18
3550,27
3600,20
3650,21
3700,20
3750,29
3800,30
3850,28
3900,25
3950,28
4000,28
